date,value,indicator_name
1981-07-02,1332.0,Gold price INR
1981-07-03,1341.0,Gold price INR
1981-07-06,1291.5,Gold price INR
1981-07-07,1305.0,Gold price INR
1981-07-08,1309.5,Gold price INR
1981-07-09,1327.5,Gold price INR
1981-07-10,1350.0,Gold price INR
1981-07-13,1359.0,Gold price INR
1981-07-14,1323.0,Gold price INR
1981-07-15,1323.0,Gold price INR
1981-07-16,1359.0,Gold price INR
1981-07-17,1345.5,Gold price INR
1981-07-20,1354.5,Gold price INR
1981-07-21,1350.0,Gold price INR
1981-07-22,1336.5,Gold price INR
1981-07-23,1359.0,Gold price INR
1981-07-24,1336.5,Gold price INR
1981-07-27,1345.5,Gold price INR
1981-07-28,1318.5,Gold price INR
1981-07-29,1323.0,Gold price INR
1981-07-30,1323.0,Gold price INR
1981-07-31,1345.5,Gold price INR
1981-08-03,1318.5,Gold price INR
1981-08-04,1323.0,Gold price INR
1981-08-05,1309.5,Gold price INR
1981-08-06,1327.5,Gold price INR
1981-08-07,1345.5,Gold price INR
1981-08-10,1327.5,Gold price INR
1981-08-11,1341.0,Gold price INR
1981-08-12,1350.0,Gold price INR
1981-08-13,1359.0,Gold price INR
1981-08-14,1368.0,Gold price INR
1981-08-17,1350.0,Gold price INR
1981-08-18,1399.5,Gold price INR
1981-08-19,1431.0,Gold price INR
1981-08-20,1408.5,Gold price INR
1981-08-21,1395.0,Gold price INR
1981-08-24,1413.0,Gold price INR
1981-08-25,1368.0,Gold price INR
1981-08-26,1359.0,Gold price INR
1981-08-27,1372.5,Gold price INR
1981-08-28,1404.0,Gold price INR
1981-08-31,1404.0,Gold price INR
1981-09-01,1404.0,Gold price INR
1981-09-02,1431.0,Gold price INR
1981-09-03,1440.0,Gold price INR
1981-09-04,1458.0,Gold price INR
1981-09-07,1467.0,Gold price INR
1981-09-08,1471.5,Gold price INR
1981-09-09,1476.0,Gold price INR
1981-09-10,1485.0,Gold price INR
1981-09-11,1521.0,Gold price INR
1981-09-14,1543.5,Gold price INR
1981-09-15,1494.0,Gold price INR
1981-09-16,1485.0,Gold price INR
1981-09-17,1530.0,Gold price INR
1981-09-18,1489.5,Gold price INR
1981-09-21,1525.5,Gold price INR
1981-09-22,1548.0,Gold price INR
1981-09-23,1552.5,Gold price INR
1981-09-24,1530.0,Gold price INR
1981-09-25,1534.5,Gold price INR
1981-09-28,1440.0,Gold price INR
1981-09-29,1458.0,Gold price INR
1981-09-30,1426.5,Gold price INR
1981-10-01,1449.0,Gold price INR
1981-10-02,1453.5,Gold price INR
1981-10-05,1462.5,Gold price INR
1981-10-06,1462.5,Gold price INR
1981-10-07,1476.0,Gold price INR
1981-10-08,1453.5,Gold price INR
1981-10-09,1507.5,Gold price INR
1981-10-12,1516.5,Gold price INR
1981-10-13,1498.5,Gold price INR
1981-10-14,1494.0,Gold price INR
1981-10-15,1507.5,Gold price INR
1981-10-16,1485.0,Gold price INR
1981-10-19,1485.0,Gold price INR
1981-10-20,1494.0,Gold price INR
1981-10-21,1480.5,Gold price INR
1981-10-22,1476.0,Gold price INR
1981-10-23,1471.5,Gold price INR
1981-10-26,1467.0,Gold price INR
1981-10-27,1444.5,Gold price INR
1981-10-28,1444.5,Gold price INR
1981-10-29,1413.0,Gold price INR
1981-10-30,1426.5,Gold price INR
1981-11-02,1444.5,Gold price INR
1981-11-03,1440.0,Gold price INR
1981-11-04,1449.0,Gold price INR
1981-11-05,1449.0,Gold price INR
